2, 0, 0, 191, 191, 191
3, 0, 0, 191, 191, 191
4, 0, 0, 191, 191, 191
5, 0, 0, 191, 191, 191
6, 0, 0, 191, 191, 191
7, 0, 0, 191, 191, 191
2, 1, 0, 191, 191, 191
3, 1, 0, 191, 191, 191
4, 1, 0, 191, 191, 191
5, 1, 0, 191, 191, 191
6, 1, 0, 191, 191, 191
7, 1, 0, 191, 191, 191
2, 2, 0, 191, 191, 191
3, 2, 0, 191, 191, 191
4, 2, 0, 191, 191, 191
5, 2, 0, 191, 191, 191
6, 2, 0, 191, 191, 191
7, 2, 0, 191, 191, 191
1, 0, 1, 191, 191, 191
2, 0, 1, 191, 191, 191
3, 0, 1, 191, 191, 191
4, 0, 1, 191, 191, 191
5, 0, 1, 191, 191, 191
6, 0, 1, 191, 191, 191
7, 0, 1, 191, 191, 191
8, 0, 1, 191, 191, 191
1, 1, 1, 191, 191, 191
8, 1, 1, 191, 191, 191
1, 2, 1, 191, 191, 191
2, 2, 1, 191, 191, 191
3, 2, 1, 191, 191, 191
4, 2, 1, 191, 191, 191
5, 2, 1, 191, 191, 191
6, 2, 1, 191, 191, 191
7, 2, 1, 191, 191, 191
8, 2, 1, 191, 191, 191
0, 0, 2, 191, 191, 191
1, 0, 2, 191, 191, 191
2, 0, 2, 191, 191, 191
3, 0, 2, 191, 191, 191
4, 0, 2, 191, 191, 191
5, 0, 2, 191, 191, 191
6, 0, 2, 191, 191, 191
7, 0, 2, 191, 191, 191
8, 0, 2, 191, 191, 191
9, 0, 2, 191, 191, 191
0, 1, 2, 191, 191, 191
4, 1, 2, 191, 191, 191
5, 1, 2, 191, 191, 191
9, 1, 2, 191, 191, 191
0, 2, 2, 191, 191, 191
1, 2, 2, 191, 191, 191
2, 2, 2, 191, 191, 191
3, 2, 2, 191, 191, 191
4, 2, 2, 191, 191, 191
5, 2, 2, 191, 191, 191
6, 2, 2, 191, 191, 191
7, 2, 2, 191, 191, 191
8, 2, 2, 191, 191, 191
9, 2, 2, 191, 191, 191
0, 0, 3, 191, 191, 191
1, 0, 3, 191, 191, 191
2, 0, 3, 191, 191, 191
3, 0, 3, 191, 191, 191
6, 0, 3, 191, 191, 191
7, 0, 3, 191, 191, 191
8, 0, 3, 191, 191, 191
9, 0, 3, 191, 191, 191
0, 1, 3, 191, 191, 191
3, 1, 3, 191, 191, 191
6, 1, 3, 191, 191, 191
9, 1, 3, 191, 191, 191
0, 2, 3, 191, 191, 191
1, 2, 3, 191, 191, 191
2, 2, 3, 191, 191, 191
3, 2, 3, 191, 191, 191
6, 2, 3, 191, 191, 191
7, 2, 3, 191, 191, 191
8, 2, 3, 191, 191, 191
9, 2, 3, 191, 191, 191
0, 0, 4, 191, 191, 191
1, 0, 4, 191, 191, 191
2, 0, 4, 191, 191, 191
7, 0, 4, 191, 191, 191
8, 0, 4, 191, 191, 191
9, 0, 4, 191, 191, 191
0, 1, 4, 191, 191, 191
2, 1, 4, 191, 191, 191
7, 1, 4, 191, 191, 191
9, 1, 4, 191, 191, 191
0, 2, 4, 191, 191, 191
1, 2, 4, 191, 191, 191
2, 2, 4, 191, 191, 191
7, 2, 4, 191, 191, 191
8, 2, 4, 191, 191, 191
9, 2, 4, 191, 191, 191
0, 0, 5, 191, 191, 191
1, 0, 5, 191, 191, 191
2, 0, 5, 191, 191, 191
7, 0, 5, 191, 191, 191
8, 0, 5, 191, 191, 191
9, 0, 5, 191, 191, 191
0, 1, 5, 191, 191, 191
2, 1, 5, 191, 191, 191
7, 1, 5, 191, 191, 191
9, 1, 5, 191, 191, 191
0, 2, 5, 191, 191, 191
1, 2, 5, 191, 191, 191
2, 2, 5, 191, 191, 191
7, 2, 5, 191, 191, 191
8, 2, 5, 191, 191, 191
9, 2, 5, 191, 191, 191
0, 0, 6, 191, 191, 191
1, 0, 6, 191, 191, 191
2, 0, 6, 191, 191, 191
3, 0, 6, 191, 191, 191
6, 0, 6, 191, 191, 191
7, 0, 6, 191, 191, 191
8, 0, 6, 191, 191, 191
9, 0, 6, 191, 191, 191
0, 1, 6, 191, 191, 191
3, 1, 6, 191, 191, 191
6, 1, 6, 191, 191, 191
9, 1, 6, 191, 191, 191
0, 2, 6, 191, 191, 191
1, 2, 6, 191, 191, 191
2, 2, 6, 191, 191, 191
3, 2, 6, 191, 191, 191
6, 2, 6, 191, 191, 191
7, 2, 6, 191, 191, 191
8, 2, 6, 191, 191, 191
9, 2, 6, 191, 191, 191
0, 0, 7, 191, 191, 191
1, 0, 7, 191, 191, 191
2, 0, 7, 191, 191, 191
3, 0, 7, 191, 191, 191
4, 0, 7, 191, 191, 191
5, 0, 7, 191, 191, 191
6, 0, 7, 191, 191, 191
7, 0, 7, 191, 191, 191
8, 0, 7, 191, 191, 191
9, 0, 7, 191, 191, 191
0, 1, 7, 191, 191, 191
4, 1, 7, 191, 191, 191
5, 1, 7, 191, 191, 191
9, 1, 7, 191, 191, 191
0, 2, 7, 191, 191, 191
1, 2, 7, 191, 191, 191
2, 2, 7, 191, 191, 191
3, 2, 7, 191, 191, 191
4, 2, 7, 191, 191, 191
5, 2, 7, 191, 191, 191
6, 2, 7, 191, 191, 191
7, 2, 7, 191, 191, 191
8, 2, 7, 191, 191, 191
9, 2, 7, 191, 191, 191
1, 0, 8, 191, 191, 191
2, 0, 8, 191, 191, 191
3, 0, 8, 191, 191, 191
4, 0, 8, 191, 191, 191
5, 0, 8, 191, 191, 191
6, 0, 8, 191, 191, 191
7, 0, 8, 191, 191, 191
8, 0, 8, 191, 191, 191
1, 1, 8, 191, 191, 191
8, 1, 8, 191, 191, 191
1, 2, 8, 191, 191, 191
2, 2, 8, 191, 191, 191
3, 2, 8, 191, 191, 191
4, 2, 8, 191, 191, 191
5, 2, 8, 191, 191, 191
6, 2, 8, 191, 191, 191
7, 2, 8, 191, 191, 191
8, 2, 8, 191, 191, 191
2, 0, 9, 191, 191, 191
3, 0, 9, 191, 191, 191
4, 0, 9, 191, 191, 191
